"id","text","freq","class","city","prob","medianDocMidDist","nchars","nwords","folds"
1000,"download the new gola app",7,1,"California_Los Angeles",0.000192859,0.116438356,25,5,3
2625,"rt citylajobs want a job as good as the first eight seasons of scrubs the city of los angeles is now hiring medical assistants",11,0,"California_Los Angeles",0.000303064,0.282051282,126,24,4
1314,"for visitors",865,1,"California_Los Angeles",0.023831827,0.19,12,2,1
3316,"translate",431,1,"California_Los Angeles",0.011874587,0.41025641,9,1,2
2844,"take the chief of police qualities survey your opinion counts",248,0,"California_Los Angeles",0.006832709,0.192307692,61,10,5
1701,"la city tweets",431,1,"California_Los Angeles",0.011874587,0.230769231,14,3,5
69,"a free automated system used to send out alerts to the public about emergency and critical incidents notifyla can reach the public via recorded telephone messages text messages and emails",2,0,"California_Los Angeles",5.51e-05,0.049450549,187,30,1
554,"channel",863,1,"California_Los Angeles",0.023776725,0.141791045,7,1,3
1699,"la city construction matchmaking event",7,0,"California_Los Angeles",0.000192859,0.114285714,38,5,1
2659,"search form",431,1,"California_Los Angeles",0.011874587,0.175324675,11,2,5
1672,"jump to the footer",431,1,"California_Los Angeles",0.011874587,0.448717949,18,4,3
467,"by los angeles police department on",12,1,"California_Los Angeles",0.000330615,0.057088285,35,6,5
1187,"find jobs",867,1,"California_Los Angeles",0.02388693,0.176923077,9,2,4
653,"clase si hay objeciones el tribunal las en ese momento de la audiencia el tribunal",1,0,"California_Los Angeles",2.76e-05,0.352459016,82,15,3
1277,"for more information go to",6,1,"California_Los Angeles",0.000165307,0.132911392,26,5,3
514,"call or",431,1,"California_Los Angeles",0.011874587,0.41025641,7,2,5
1299,"for residents",867,1,"California_Los Angeles",0.02388693,0.21875,13,2,5
2656,"search",1729,1,"California_Los Angeles",0.047636103,0.26119403,6,1,4
383,"blogs",241,1,"California_Los Angeles",0.00663985,0.02,5,1,2
65,"affordable housing commission meeting",2,0,"California_Los Angeles",5.51e-05,0.017647059,37,4,3
2666,"select an app icon to launch it",2,1,"California_Los Angeles",5.51e-05,0.309090909,31,7,1
1779,"lausd students who began classes in the fall and graduate in will be the first to qualify for the college promise which guarantees admission and a year of tuition free education on one of the nine campuses in the los angeles community college district the college promise will provide students with resources and support that ranges from tutoring and mentoring programs to financial literacy workshops",2,0,"California_Los Angeles",5.51e-05,0.022222222,401,65,3
3181,"the terminal connector not only makes lax more accommodating for travelers it also displays our dedication to building environmentally friendly infrastructure said city councilmember bob blumenfield who chairs the innovation grants technology commerce and trade committee it sets a powerful precedent for future projects to uphold the same green standards and increase energy conservation",2,0,"California_Los Angeles",5.51e-05,0.097701149,388,54,2
773,"council directory",42,1,"California_Los Angeles",0.001157152,0.31294964,17,2,2
3381,"utulizando la horario de juntas o descargar la aplicacion app",1,0,"California_Los Angeles",2.76e-05,0.3,61,10,3
974,"disclaimer",433,1,"California_Los Angeles",0.011929689,0.448717949,10,1,3
3283,"top",431,1,"California_Los Angeles",0.011874587,0.5,3,1,5
1449,"home",1294,1,"California_Los Angeles",0.035651311,0.14556962,4,1,1
3221,"through a collaboration with our partners on the local and federal level we have created an annual tradition to bring more people to the los angeles river said councilmember who represents the elysian valley neighborhood where the glendale narrows is located this is a great opportunity for angelenos to get on the water enjoy the wildlife experience the potential and enjoy nature near the birthplace of our great city",2,0,"California_Los Angeles",5.51e-05,0.117283951,419,69,5
369,"best weekly news show la this week",2,1,"California_Los Angeles",5.51e-05,0.033333333,34,7,3
3501,"what if my battery dies",2,1,"California_Los Angeles",5.51e-05,0.110526316,23,5,5
1960,"mayor eric garcetti announces plan for a resilient los angeles",248,0,"California_Los Angeles",0.006832709,0.179487179,62,10,5
345,"back to top",21,1,"California_Los Angeles",0.000578576,0.085714286,11,3,5
1202,"first and foremost we want to thank the public for your patience in dealing with the street closures resulting fro",230,0,"California_Los Angeles",0.006336786,0.294871795,114,20,5
978,"discuss inclusion and race at embrace dinners",248,0,"California_Los Angeles",0.006832709,0.166666667,45,7,2
1393,"gross mismanagement of resources including careless expenditures",2,0,"California_Los Angeles",5.51e-05,0.126666667,64,7,3
3411,"view more public notices",431,1,"California_Los Angeles",0.011874587,0.371794872,24,4,1
3331,"tweets by mayorofla",431,1,"California_Los Angeles",0.011874587,0.256410256,19,3,1
1306,"for the latest information on the la tuna canyon fire and instructions on what to do if you live in the affected area go to",2,0,"California_Los Angeles",5.51e-05,0.1,123,25,1
2765,"somewhat",4,1,"California_Los Angeles",0.000110205,0.128571429,8,1,5
2727,"sign up for notifyla",5,1,"California_Los Angeles",0.000137756,0.109090909,20,4,3
638,"city services",1295,1,"California_Los Angeles",0.035678863,0.205128205,13,2,1
2683,"service feedback form",2,1,"California_Los Angeles",5.51e-05,0.042857143,21,3,4
3430,"visitors",431,1,"California_Los Angeles",0.011874587,0.346153846,8,1,3
2446,"professional clothing drive for homeless lgbtq youth",7,0,"California_Los Angeles",0.000192859,0.064102564,52,7,5
2149,"n spring st los angeles ca",431,1,"California_Los Angeles",0.011874587,0.397435897,26,6,4
3387,"various locations",2,1,"California_Los Angeles",5.51e-05,0.320197044,17,2,3
2007,"menu",862,1,"California_Los Angeles",0.023749173,0.365671642,4,1,4
1247,"for business",868,1,"California_Los Angeles",0.023914481,0.204503676,12,2,3
89,"airport police specialist",2,1,"California_Los Angeles",5.51e-05,0.134980892,25,3,2
258,"art culture",2,1,"California_Los Angeles",5.51e-05,0.268361582,11,2,3
911,"departments bureaus",48,1,"California_Los Angeles",0.00132246,0.217588795,19,2,5
1801,"learn more on our frequently asked questions page",3,1,"California_Los Angeles",8.27e-05,0.18115942,49,8,2
1657,"jobs",431,1,"California_Los Angeles",0.011874587,0.333333333,4,1,3
3412,"view more tweets",431,1,"California_Los Angeles",0.011874587,0.307692308,16,3,1
711,"como el de el salvador el libro el principito",234,0,"California_Los Angeles",0.006446991,0.282051282,45,9,4
1983,"mayor garcetti directed his innovation team to design build test and launch that platform during the process the office collaborated closely with the city of san francisco which launched its own award winning portal in setting an example for how cities can share resources toward mutually beneficial progress",2,0,"California_Los Angeles",5.51e-05,0.05,308,48,5
1670,"jump to navigation",431,1,"California_Los Angeles",0.011874587,0.487179487,18,3,5
771,"council committees",44,1,"California_Los Angeles",0.001212255,0.224550898,18,2,5
804,"council rules",49,1,"California_Los Angeles",0.001350011,0.18707483,13,2,2
916,"dept of recreation parks",13,1,"California_Los Angeles",0.000358166,0.268361582,24,4,1
2418,"pothole small asphalt repair",1,10,"California_Los Angeles",2.76e-05,0.257575758,28,4,3
1696,"la city awards",431,1,"California_Los Angeles",0.011874587,0.384615385,14,3,4
1673,"jump to the site map",431,1,"California_Los Angeles",0.011874587,0.461538462,20,5,1
2084,"neighborhood councils",43,1,"California_Los Angeles",0.001184704,0.241007194,21,2,2
2174,"offer comment on the housing and community investment decision to release funds for the florence mills apartments",434,0,"California_Los Angeles",0.01195724,0.346153846,113,17,3
1851,"los angeles",468,1,"California_Los Angeles",0.012893983,0.435064935,11,2,1
1448,"hollyhock curator jeffrey herr says the video tour will utilize three dimensional camera work and provide a near virtual view due to the camera angle helping people navigate through the house as if they are on a tour",2,0,"California_Los Angeles",5.51e-05,0.090361446,216,38,5
210,"anterior a la fecha del acuerdo de la durante la vigencia del",1,0,"California_Los Angeles",2.76e-05,0.090163934,61,12,5
534,"celebrate african american heritage month",248,0,"California_Los Angeles",0.006832709,0.217948718,41,5,2
2094,"news dtla merchants selling counterfeit phone chargers because these pose a significant shock fire hazard",193,0,"California_Los Angeles",0.00531739,0.276315789,105,15,2
1446,"history of los angeles",56,1,"California_Los Angeles",0.00154287,0.176357335,22,4,4
3310,"toy reuse drive flyer",2,1,"California_Los Angeles",5.51e-05,0.084415584,21,4,2
421,"business",433,1,"California_Los Angeles",0.011929689,0.358974359,8,1,5
3129,"the port of los angeles is now accepting applications for its community investment grant program",434,0,"California_Los Angeles",0.01195724,0.333333333,96,15,1
1333,"from los angeles will host dinners across every one of the districts that make up our city each dinner will consist of a chef a gathering of neighbors and a thoughtful dialogue centered on one of the most important topics of our time race attending is free apply at",2,0,"California_Los Angeles",5.51e-05,0.105263158,265,49,4
382,"blog",527,1,"California_Los Angeles",0.014519506,0.062352941,4,1,3
588,"city council meeting and committee calendar",48,1,"California_Los Angeles",0.00132246,0.182942835,43,6,2
1404,"happy birthday",2,1,"California_Los Angeles",5.51e-05,0.08974359,14,2,3
2484,"public safety emergency services",11,1,"California_Los Angeles",0.000303064,0.186868687,32,4,2
91,"airports los angeles world",3,1,"California_Los Angeles",8.27e-05,0.25,26,4,2
521,"cannabis regulation commission",4,1,"California_Los Angeles",0.000110205,0.078767123,30,3,4
2814,"submit feedback",437,1,"California_Los Angeles",0.012039894,0.423076923,15,2,2
3591,"your government",882,1,"California_Los Angeles",0.024300198,0.166666667,15,2,3
1382,"government",432,1,"California_Los Angeles",0.011902138,0.320512821,10,1,2
1481,"how will federal funds help your community please join us at a public hearing to review the proposed plan",434,0,"California_Los Angeles",0.01195724,0.358974359,105,19,1
1172,"filming",12,1,"California_Los Angeles",0.000330615,0.144144144,7,1,3
763,"copyright city of los angeles all rights reserved",433,1,"California_Los Angeles",0.011929689,0.435897436,49,8,3
100,"alexa ask city what city council meetings are happening tomorrow",12,1,"California_Los Angeles",0.000330615,0.147075874,64,10,5
2439,"privacy policy",433,1,"California_Los Angeles",0.011929689,0.474358974,14,2,2
1963,"mayor eric garcetti in partnership with",4,1,"California_Los Angeles",0.000110205,0.052277228,39,6,2
1705,"la cityview recognized for excellence in government programming",6,0,"California_Los Angeles",0.000165307,0.033333333,63,8,2
2668,"select sign out verification process",1,1,"California_Los Angeles",2.76e-05,0.209090909,36,5,4
2512,"q why is my address not found when entering a service request or using the find city info map",2,0,"California_Los Angeles",5.51e-05,0.157142857,93,19,1
769,"council committee meeting audio",42,1,"California_Los Angeles",0.001157152,0.189655172,31,4,1
1775,"latest posts",241,1,"California_Los Angeles",0.00663985,0.153846154,12,2,3
1692,"la calendars",55,1,"California_Los Angeles",0.001515318,0.210691824,12,2,1
3572,"you are here",430,1,"California_Los Angeles",0.011847035,0.055555556,12,3,5
455,"by housing authority originally posted on on",3,1,"California_Los Angeles",8.27e-05,0.030864198,44,7,4
2445,"professional artist requested to create public art for the wilmington waterfront promenade",4,0,"California_Los Angeles",0.000110205,0.116869096,90,12,2
353569,"how to manage that account whereas the perf program is automatic if someone is",1,0,"Indiana_Indianapolis",3.76e-07,0.054702495,78,14,3
790293,"total budgeted expenses",1,1,"Indiana_Indianapolis",3.76e-07,0.144808743,23,3,2
344662,"her concern is how much is really being driven by certain elements who want to paint the",1,0,"Indiana_Indianapolis",3.76e-07,0.075931232,88,17,4
13966,"address of property number and street city state zip code",5469,1,"Indiana_Indianapolis",0.00205392,0.250204942,57,10,2
729685,"that was not included in the comments section on the form joint report on preliminary informal hearing where there was an",5469,0,"Indiana_Indianapolis",0.00205392,0.250071017,121,21,2
679908,"signature of county property tax assessment board of appeals member date signed month day year",5469,1,"Indiana_Indianapolis",0.00205392,0.250085803,94,15,3
380740,"information services agency",1783,1,"Indiana_Indianapolis",0.000669618,0.301169591,27,3,4
307335,"form",10987,1,"Indiana_Indianapolis",0.004126243,0.250027658,4,1,4
677437,"she went on to serve as the director of transitional services employment for pace before being promoted to",1,0,"Indiana_Indianapolis",3.76e-07,0.380480063,106,18,2
659805,"section ii description of property",5469,1,"Indiana_Indianapolis",0.00205392,0.250302054,34,5,2
408718,"jms rp",1,1,"Indiana_Indianapolis",3.76e-07,0.479591837,6,2,4
554934,"persons present on half of taxpayer persons include titles present on behalf of assessor",5469,0,"Indiana_Indianapolis",0.00205392,0.250117255,88,14,5
419818,"lan group",1,1,"Indiana_Indianapolis",3.76e-07,0.495922528,9,2,4
690492,"special resolution no recognizes w richard dick wayman",1,0,"Indiana_Indianapolis",3.76e-07,0.464979064,54,8,2
625318,"reporting requirements",18,1,"Indiana_Indianapolis",6.76e-06,0.259260062,22,2,1
785300,"to experience the natural beauty of this park and its wildlife",1,0,"Indiana_Indianapolis",3.76e-07,0.050964187,62,11,4
67502,"ask beth neighborhood association access to sheriff sale information",1,1,"Indiana_Indianapolis",3.76e-07,0.480392157,68,9,4
204599,"county property tax board of appeals exhibits",5469,0,"Indiana_Indianapolis",0.00205392,0.250177029,45,7,2
790136,"total",11686,1,"Indiana_Indianapolis",0.004388757,0.23964563,5,1,1
154854,"committee action",9097,1,"Indiana_Indianapolis",0.00341644,0.249226006,16,2,3
438228,"maintain control over resources for specific activities or objectives the city uses fund accounting to demonstrate compliance with finance related legal",6,0,"Indiana_Indianapolis",2.25e-06,0.334532982,152,21,2
10717,"actual adopted revised actual budget ytd",2340,1,"Indiana_Indianapolis",0.000878803,0.253712871,40,6,1
817831,"volume sheet",12,1,"Indiana_Indianapolis",4.51e-06,0.379090793,12,2,3
552193,"performed in dpw operations requires highly skilled dedicated staff for that",4,0,"Indiana_Indianapolis",1.5e-06,0.097592646,76,11,3
